gluserid,First_Paid_Service,Todays Date,Tenurity_in_days,Mode,isdownloaded,company_name,query_execution_date,approved_products,mapped_mcats,turnover,gst,nob,state,total_bl_pur,last_3m_bl_pur,last_15_days_bl_pur,total_enq,last_3_month_enq,Total_enq_reply,reply_to_unique_sender,last_90_days_reply_to_unique_sender,last_3_month_irrelevent,bl_ni,total_tickets,deactivation_tickets,amount_paid_till_date,amount_paid_last_3_months,location_preference,MDC,Maxi,LSSS,PL,TS,Website,Zone
911368,06-01-2011,01-10-2018,2825,Annual,0,Component Masters,25-Aug-22,45,101,Rs. 2 - 5 Crore,Y,Exporter,Maharashtra,1764,261,68,2042,870,76,52,45,0,0,13,1,1368677.7,519200,Local,Yes,No,Yes,No,Yes,No,3
911950,11-09-2008,01-10-2018,3672,Annual,0,Win Win Diamond Products,27-Aug-22,122,47,Rs. 2 - 5 Crore,Y,Manufacturer,Tamil Nadu,2122,103,7,938,474,60,51,2,0,1650,16,0,2051584.4,0,India,No,Yes,Yes,Yes,Yes,No,3
912263,25-08-2008,01-10-2018,3689,Annual,0,Young Brothers,28-Aug-22,86,40,Rs. 2 - 5 Crore,Y,Exporter,West Bengal,287,52,7,981,445,165,162,45,0,0,1,0,377267.49,79650,Global,Yes,No,No,No,No,No,3
913136,13-09-2012,01-10-2018,2209,Annual,0,Advance Agro Ripe Private Limited,29-Aug-22,51,34,Rs. 2 - 5 Crore,Y,Manufacturer,Maharashtra,906,72,2,1675,631,217,211,51,0,1,19,0,1595799.99,708000,Global,No,Yes,Yes,Yes,Yes,No,4
913417,21-08-2012,01-10-2018,2232,Annual,0,Master Band,30-Aug-22,37,21,Rs. 50 Lakh - 1 Crore,Y,Service Provider,Delhi,262,15,0,2075,672,30,24,0,0,1,12,0,878443.58,177000,Local,No,Yes,No,No,Yes,No,4
913496,27-03-2014,01-10-2018,1649,Annual,0,Yash Decors,31-Aug-22,62,58,Upto Rs. 50 Lakh,Y,Service Provider,Delhi,1400,120,22,1820,908,2796,2693,309,0,0,4,0,521650.2,59000,India,No,Yes,No,No,Yes,No,4
913824,31-12-2009,01-10-2018,3196,Annual,0,Dhameja Home Industries,01-Sep-22,14,16,Rs. 10 - 25 Crore,Y,Manufacturer,Madhya Pradesh,11,0,0,149,56,6,4,0,0,0,1,0,374111.21,29500,India,Yes,No,No,No,Yes,No,3
913976,21-11-2011,01-10-2018,2506,Annual,0,Kwality Colours,02-Sep-22,36,15,Rs. 50 Lakh - 1 Crore,Y,Manufacturer,Gujarat,1290,84,38,1053,258,9,9,0,0,0,21,0,2203305.96,234525,Global,No,No,Yes,Yes,Yes,Yes,1
914921,12-04-2013,01-10-2018,1998,Annual,0,Shiv Shakti Mechanicals,03-Sep-22,44,43,Rs. 2 - 5 Crore,Y,Manufacturer,Rajasthan,189,26,5,1154,540,14,14,0,0,0,3,0,268944.01,0,Global,Yes,No,No,No,Yes,No,1
914976,08-04-2010,01-10-2018,3098,Annual,0,Plastichem Indl Corpn,04-Sep-22,16,15,Rs. 25 - 50 Crore,Y,Authorized Wholesale Dealer,Maharashtra,466,10,2,394,148,8,8,0,0,0,9,1,456777.2,0,India,No,Yes,No,No,Yes,No,2
915784,10-10-2007,01-10-2018,4009,Annual,0,White Daisy,05-Sep-22,317,235,Rs. 10 - 25 Crore,Y,Manufacturer,Uttar Pradesh,476,24,1,921,313,422,383,79,0,0,5,0,864268.92,0,Foreign,No,Yes,No,No,Yes,No,1
915863,31-08-2013,01-10-2018,1857,Monthly,0,Allied Metal & Tubes,06-Sep-22,698,"2,422",Rs. 2 - 5 Crore,Y,Manufacturer,Maharashtra,414,57,10,2206,904,190,181,0,0,0,0,0,100250,14000,Global,Yes,No,No,No,No,No,4
915881,15-10-2007,01-10-2018,4004,Annual,0,Kenn Automation Private Limited,07-Sep-22,17,24,Rs. 50 Lakh - 1 Crore,Y,Manufacturer,Maharashtra,4,0,0,316,84,0,0,0,0,0,2,0,300511.55,0,India,Yes,No,No,No,Yes,No,4
915970,17-11-2015,01-10-2018,1049,Annual,0,Mercury Sales Corporation,08-Sep-22,7,7,Upto Rs. 50 Lakh,Y,Manufacturer,Maharashtra,281,26,8,233,114,112,105,5,0,1,12,0,59000,0,India,Yes,No,No,No,No,No,3
916150,13-07-2011,01-10-2018,2637,Annual,0,Mjr Corporations,09-Sep-22,399,235,Rs. 50 Lakh - 1 Crore,Y,Manufacturer,Maharashtra,1187,112,21,4384,1688,370,286,39,0,3,1,0,911488.2,0,Global,No,Yes,No,No,Yes,No,3
916287,16-01-2012,01-10-2018,2450,Annual,0,Shine Well International,10-Sep-22,72,42,Rs. 2 - 5 Crore,Y,Manufacturer,Maharashtra,485,24,4,702,250,11,11,9,0,0,2,0,328191.48,0,India,Yes,No,No,No,Yes,No,2
917923,07-07-2011,01-10-2018,2643,Annual,0,Vidhissa Shipping & Transmovers,14-Sep-22,19,17,Rs. 50 Lakh - 1 Crore,Y,Service Provider,Maharashtra,330,4,0,1323,361,434,291,5,0,0,3,0,859487,0,Global,No,Yes,No,No,Yes,No,1
917998,14-06-2011,01-10-2018,2666,Annual,0,Calibre Industries,15-Sep-22,37,15,Rs. 5 - 10 Crore,Y,Manufacturer,Karnataka,351,0,0,498,130,2,2,0,0,0,3,0,374306.21,0,India,Yes,No,No,No,No,No,3
918128,31-05-2011,01-10-2018,2680,Annual,0,Jakson & Company,16-Sep-22,57,86,Rs. 100 - 500 Crore,Y,Manufacturer,Delhi,3810,624,112,9027,3885,25,25,1,0,0,19,0,5671938.14,4381852.79,Local,Yes,No,Yes,Yes,Yes,No,4
918140,07-08-2018,01-10-2018,55,Annual,0,N.S. Chemicals,17-Sep-22,20,15,Rs. 10 - 25 Crore,Y,Manufacturer,Maharashtra,580,46,39,580,187,6,5,0,0,1,7,0,520380.65,156114,Foreign,Yes,Yes,No,No,Yes,No,1
918443,22-05-2015,01-10-2018,1228,Annual,0,Suvidhinath Laboratories,19-Sep-22,191,124,Rs. 2 - 5 Crore,Y,Manufacturer,Gujarat,1871,231,53,3261,1396,497,464,123,0,0,14,0,1236851.6,757206,Global,Yes,Yes,Yes,No,Yes,No,1
918472,15-09-2012,01-10-2018,2207,Annual,0,Mikura Micro Industry,20-Sep-22,58,35,Rs. 2 - 5 Crore,Y,Exporter,Gujarat,55,0,0,245,126,7,7,0,0,0,1,0,279663.18,0,India,Yes,No,No,No,Yes,No,2
918477,11-10-2014,01-10-2018,1451,Annual,0,Suvidha Air Engineers,21-Sep-22,42,35,Rs. 2 - 5 Crore,Y,Manufacturer,Gujarat,895,45,3,1382,421,35,33,9,0,0,6,0,613944.15,0,Global,Yes,No,Yes,No,Yes,No,2
918493,08-02-2011,01-10-2018,2792,Annual,0,Ruba Packagers Private Limited,22-Sep-22,15,16,Rs. 50 Lakh - 1 Crore,Y,Manufacturer,West Bengal,47,0,0,437,119,39,36,0,0,0,0,0,206206.4,0,India,Yes,No,No,No,No,No,1
